model,recorded_at,new_price,used_price
INTEL Core i5-13400F,2026-03-10,902,
INTEL Core i5-13490F,2026-03-10,907,
INTEL Core i5-13500,2026-03-10,1317,
INTEL Core i5-13600K,2026-03-10,1347,
INTEL Core i5-13600KF,2026-03-10,1297,
INTEL Core i5-14400,2026-03-10,1327,
INTEL Core i5-14400F,2026-03-10,987,
INTEL Core i5-14490F,2026-03-10,1077,
INTEL Core i5-14500,2026-03-10,1447,
INTEL Core i5-14600K,2026-03-10,1547,
INTEL Core i5-14600KF,2026-03-10,1477,
INTEL Core i7-12700K,2026-03-10,1937,
INTEL Core i7-12700KF,2026-03-10,1797,
INTEL Core i7-14700,2026-03-10,2597,
INTEL Core i7-14700F,2026-03-10,1992,
INTEL Core i7-14700K,2026-03-10,2697,
INTEL Core i7-14700KF,2026-03-10,2057,
INTEL Core i9-14900K,2026-03-10,3357,
INTEL Core i9-14900KF,2026-03-10,2787,
AMD Ryzen 5 5500,2026-03-16,506,
AMD Ryzen 5 5500GT,2026-03-16,816,
AMD Ryzen 5 5500X3D,2026-03-16,1105,
AMD Ryzen 5 5600,2026-03-16,726,
AMD Ryzen 5 5600GT,2026-03-16,856,
AMD Ryzen 5 5600X,2026-03-16,836,
AMD Ryzen 5 7400F,2026-03-16,776,
AMD Ryzen 5 7500F,2026-03-16,726,
AMD Ryzen 5 7600X,2026-03-16,1076,
AMD Ryzen 5 8400F,2026-03-16,766,
AMD Ryzen 5 8600G,2026-03-16,1206,
AMD Ryzen 5 9500F,2026-03-16,1086,
AMD Ryzen 5 9600X,2026-03-16,1106,
AMD Ryzen 7 5700G,2026-03-16,1146,
AMD Ryzen 7 5700X,2026-03-16,956,
AMD Ryzen 7 5700X3D,2026-03-16,2096,
AMD Ryzen 7 7700,2026-03-16,1196,
AMD Ryzen 7 7800X3D,2026-03-16,1926,
AMD Ryzen 7 8700F,2026-03-16,956,
AMD Ryzen 7 8700G,2026-03-16,1766,
AMD Ryzen 7 9700X,2026-03-16,1556,
AMD Ryzen 7 9800X3D,2026-03-16,2826,
AMD Ryzen 7 9850X3D,2026-03-16,3186,
AMD Ryzen 9 9900X,2026-03-16,2396,
AMD Ryzen 9 9900X3D,2026-03-16,3196,
AMD Ryzen 9 9950X,2026-03-16,2836,
AMD Ryzen 9 9950X3D,2026-03-16,4186,
INTEL Core Ultra 5 225,2026-03-16,1037,
INTEL Core Ultra 5 225F,2026-03-16,842,
INTEL Core Ultra 5 230F,2026-03-16,832,
INTEL Core Ultra 5 235,2026-03-16,1197,
INTEL Core Ultra 5 245K,2026-03-16,1197,
INTEL Core Ultra 5 245KF,2026-03-16,1197,
INTEL Core Ultra 5 250K Plus,2026-03-16,1197,
INTEL Core Ultra 5 250KF Plus,2026-03-16,1197,
INTEL Core Ultra 7 265K,2026-03-16,1797,
INTEL Core Ultra 7 265KF,2026-03-16,1587,
INTEL Core Ultra 7 270K Plus,2026-03-16,3896,
INTEL Core Ultra 9 285K,2026-03-16,3896,
INTEL Core i3-12100,2026-03-16,922,
INTEL Core i3-12100F,2026-03-16,647,
INTEL Core i3-13100,2026-03-16,947,
INTEL Core i3-13100F,2026-03-16,687,
INTEL Core i3-14100,2026-03-16,957,
INTEL Core i3-14100F,2026-03-16,707,
INTEL Core i5-12400,2026-03-16,1217,
INTEL Core i5-12400F,2026-03-16,882,
INTEL Core i5-12490F,2026-03-16,946,
INTEL Core i5-12500,2026-03-16,1332,
INTEL Core i5-12600K,2026-03-16,1367,
INTEL Core i5-12600KF,2026-03-16,1196,
INTEL Core i5-13400,2026-03-16,1397,
INTEL Core i5-13400F,2026-03-16,992,
INTEL Core i5-13490F,2026-03-16,967,
INTEL Core i5-13500,2026-03-16,1377,
INTEL Core i5-13600K,2026-03-16,1367,
INTEL Core i5-13600KF,2026-03-16,1327,
INTEL Core i5-14400,2026-03-16,1437,
INTEL Core i5-14400F,2026-03-16,1057,
INTEL Core i5-14490F,2026-03-16,1067,
INTEL Core i5-14500,2026-03-16,1477,
INTEL Core i5-14600K,2026-03-16,1556,
INTEL Core i5-14600KF,2026-03-16,1496,
INTEL Core i7-12700K,2026-03-16,2257,
INTEL Core i7-12700KF,2026-03-16,1897,
INTEL Core i7-14700,2026-03-16,2587,
INTEL Core i7-14700F,2026-03-16,2192,
INTEL Core i7-14700K,2026-03-16,2686,
INTEL Core i7-14700KF,2026-03-16,2196,
INTEL Core i7-14790F,2026-03-16,1887,
INTEL Core i9-14900K,2026-03-16,3357,
INTEL Core i9-14900KF,2026-03-16,2887,
AMD Ryzen 5 5500,2026-03-17,495,
AMD Ryzen 5 5500GT,2026-03-17,796,
AMD Ryzen 5 5500X3D,2026-03-17,1125,
AMD Ryzen 5 5600,2026-03-17,695,
AMD Ryzen 5 5600GT,2026-03-17,856,
AMD Ryzen 5 5600X,2026-03-17,836,
AMD Ryzen 5 7400F,2026-03-17,766,
AMD Ryzen 5 7500F,2026-03-17,786,
AMD Ryzen 5 7600X,2026-03-17,1086,
AMD Ryzen 5 8400F,2026-03-17,766,
AMD Ryzen 5 8600G,2026-03-17,1206,
AMD Ryzen 5 9500F,2026-03-17,1076,
AMD Ryzen 5 9600X,2026-03-17,1135,
AMD Ryzen 7 5700G,2026-03-17,1086,
AMD Ryzen 7 5700X,2026-03-17,932,
AMD Ryzen 7 5700X3D,2026-03-17,2246,
AMD Ryzen 7 7700,2026-03-17,1292,
AMD Ryzen 7 7800X3D,2026-03-17,1946,
AMD Ryzen 7 8700F,2026-03-17,956,
AMD Ryzen 7 8700G,2026-03-17,1766,
AMD Ryzen 7 9700X,2026-03-17,1586,
AMD Ryzen 7 9800X3D,2026-03-17,2855,
AMD Ryzen 7 9850X3D,2026-03-17,3246,
AMD Ryzen 9 9900X,2026-03-17,2396,
AMD Ryzen 9 9900X3D,2026-03-17,3196,
AMD Ryzen 9 9950X,2026-03-17,2946,
AMD Ryzen 9 9950X3D,2026-03-17,4356,
INTEL Core Ultra 5 225,2026-03-17,1077,
INTEL Core Ultra 5 225F,2026-03-17,837,
INTEL Core Ultra 5 230F,2026-03-17,917,
INTEL Core Ultra 5 235,2026-03-17,1197,
INTEL Core Ultra 5 245K,2026-03-17,1357,
INTEL Core Ultra 5 245KF,2026-03-17,1197,
INTEL Core Ultra 5 250K Plus,2026-03-17,1357,
INTEL Core Ultra 5 250KF Plus,2026-03-17,1357,
INTEL Core Ultra 7 265K,2026-03-17,1816,
INTEL Core Ultra 7 265KF,2026-03-17,1587,
INTEL Core Ultra 7 270K Plus,2026-03-17,4317,
INTEL Core Ultra 9 285K,2026-03-17,4317,
INTEL Core i3-12100,2026-03-17,942,
INTEL Core i3-12100F,2026-03-17,677,
INTEL Core i3-13100,2026-03-17,947,
INTEL Core i3-13100F,2026-03-17,717,
INTEL Core i3-14100,2026-03-17,987,
INTEL Core i3-14100F,2026-03-17,737,
INTEL Core i5-12400,2026-03-17,1257,
INTEL Core i5-12400F,2026-03-17,892,
INTEL Core i5-12490F,2026-03-17,867,
INTEL Core i5-12500,2026-03-17,1262,
INTEL Core i5-12600K,2026-03-17,1367,
INTEL Core i5-12600KF,2026-03-17,1187,
INTEL Core i5-13400,2026-03-17,1457,
INTEL Core i5-13400F,2026-03-17,972,
INTEL Core i5-13490F,2026-03-17,957,
INTEL Core i5-13500,2026-03-17,1377,
INTEL Core i5-13600K,2026-03-17,1417,
INTEL Core i5-13600KF,2026-03-17,1367,
INTEL Core i5-14400,2026-03-17,1387,
INTEL Core i5-14400F,2026-03-17,1067,
INTEL Core i5-14490F,2026-03-17,1117,
INTEL Core i5-14500,2026-03-17,1497,
INTEL Core i5-14600K,2026-03-17,1546,
INTEL Core i5-14600KF,2026-03-17,1506,
INTEL Core i7-12700K,2026-03-17,2087,
INTEL Core i7-12700KF,2026-03-17,1897,
INTEL Core i7-14700,2026-03-17,2657,
INTEL Core i7-14700F,2026-03-17,2092,
INTEL Core i7-14700K,2026-03-17,2747,
INTEL Core i7-14700KF,2026-03-17,2257,
INTEL Core i7-14790F,2026-03-17,1857,
INTEL Core i9-14900K,2026-03-17,3346,
INTEL Core i9-14900KF,2026-03-17,2887,
AMD Ryzen 5 5500,2026-03-23,516,
AMD Ryzen 5 5500GT,2026-03-23,826,
AMD Ryzen 5 5500X3D,2026-03-23,1106,
AMD Ryzen 5 5600,2026-03-23,732,
AMD Ryzen 5 5600GT,2026-03-23,876,
AMD Ryzen 5 5600X,2026-03-23,836,
AMD Ryzen 5 7400F,2026-03-23,776,
AMD Ryzen 5 7500F,2026-03-23,696,
AMD Ryzen 5 7600X,2026-03-23,1076,
AMD Ryzen 5 8400F,2026-03-23,766,
AMD Ryzen 5 8600G,2026-03-23,1206,
AMD Ryzen 5 9500F,2026-03-23,1056,
AMD Ryzen 5 9600X,2026-03-23,1081,
AMD Ryzen 7 5700G,2026-03-23,1146,
AMD Ryzen 7 5700X,2026-03-23,972,
AMD Ryzen 7 5700X3D,2026-03-23,2086,
AMD Ryzen 7 7700,2026-03-23,1186,
AMD Ryzen 7 7800X3D,2026-03-23,1875,
AMD Ryzen 7 8700F,2026-03-23,956,
AMD Ryzen 7 8700G,2026-03-23,1766,
AMD Ryzen 7 9700X,2026-03-23,1506,
AMD Ryzen 7 9800X3D,2026-03-23,2796,
AMD Ryzen 7 9850X3D,2026-03-23,3186,
AMD Ryzen 9 9900X,2026-03-23,2396,
AMD Ryzen 9 9900X3D,2026-03-23,3456,
AMD Ryzen 9 9950X,2026-03-23,2836,
AMD Ryzen 9 9950X3D,2026-03-23,4186,
INTEL Core Ultra 5 225,2026-03-23,1027,
INTEL Core Ultra 5 225F,2026-03-23,786,
INTEL Core Ultra 5 230F,2026-03-23,796,
INTEL Core Ultra 5 235,2026-03-23,1197,
INTEL Core Ultra 5 245K,2026-03-23,1156,
INTEL Core Ultra 5 245KF,2026-03-23,1146,
INTEL Core Ultra 5 250K Plus,2026-03-23,1576,
INTEL Core Ultra 5 250KF Plus,2026-03-23,1547,
INTEL Core Ultra 7 265K,2026-03-23,1796,
INTEL Core Ultra 7 265KF,2026-03-23,1596,
INTEL Core Ultra 7 270K Plus,2026-03-23,2306,
INTEL Core Ultra 9 285K,2026-03-23,3856,
INTEL Core i3-12100,2026-03-23,912,
INTEL Core i3-12100F,2026-03-23,647,
INTEL Core i3-13100,2026-03-23,907,
INTEL Core i3-13100F,2026-03-23,657,
INTEL Core i3-14100,2026-03-23,895,
INTEL Core i3-14100F,2026-03-23,667,
INTEL Core i5-12400,2026-03-23,1217,
INTEL Core i5-12400F,2026-03-23,882,
INTEL Core i5-12490F,2026-03-23,862,
INTEL Core i5-12500,2026-03-23,1332,
INTEL Core i5-12600K,2026-03-23,1327,
INTEL Core i5-12600KF,2026-03-23,1087,
INTEL Core i5-13400,2026-03-23,1397,
INTEL Core i5-13400F,2026-03-23,973,
INTEL Core i5-13490F,2026-03-23,962,
INTEL Core i5-13500,2026-03-23,1377,
INTEL Core i5-13600K,2026-03-23,1367,
INTEL Core i5-13600KF,2026-03-23,1337,
INTEL Core i5-14400,2026-03-23,1437,
INTEL Core i5-14400F,2026-03-23,1037,
INTEL Core i5-14490F,2026-03-23,1057,
INTEL Core i5-14500,2026-03-23,1517,
INTEL Core i5-14600K,2026-03-23,1447,
INTEL Core i5-14600KF,2026-03-23,1407,
INTEL Core i7-12700K,2026-03-23,2257,
INTEL Core i7-12700KF,2026-03-23,1937,
INTEL Core i7-14700,2026-03-23,2517,
INTEL Core i7-14700F,2026-03-23,2077,
INTEL Core i7-14700K,2026-03-23,2747,
INTEL Core i7-14700KF,2026-03-23,2196,
INTEL Core i7-14790F,2026-03-23,1887,
INTEL Core i9-14900K,2026-03-23,3356,
INTEL Core i9-14900KF,2026-03-23,2887,
AMD Ryzen 5 5500,2026-03-24,506,
AMD Ryzen 5 5500GT,2026-03-24,816,
AMD Ryzen 5 5500X3D,2026-03-24,1105,
AMD Ryzen 5 5600,2026-03-24,726,
AMD Ryzen 5 5600GT,2026-03-24,856,
AMD Ryzen 5 5600X,2026-03-24,836,
AMD Ryzen 5 7400F,2026-03-24,776,
AMD Ryzen 5 7500F,2026-03-24,726,
AMD Ryzen 5 7600X,2026-03-24,1076,
AMD Ryzen 5 8400F,2026-03-24,766,
AMD Ryzen 5 8600G,2026-03-24,1206,
AMD Ryzen 5 9500F,2026-03-24,1086,
AMD Ryzen 5 9600X,2026-03-24,1106,
AMD Ryzen 7 5700G,2026-03-24,1146,
AMD Ryzen 7 5700X,2026-03-24,956,
AMD Ryzen 7 5700X3D,2026-03-24,2096,
AMD Ryzen 7 7700,2026-03-24,1196,
AMD Ryzen 7 7800X3D,2026-03-24,1926,
AMD Ryzen 7 8700F,2026-03-24,956,
AMD Ryzen 7 8700G,2026-03-24,1766,
AMD Ryzen 7 9700X,2026-03-24,1556,
AMD Ryzen 7 9800X3D,2026-03-24,2826,
AMD Ryzen 7 9850X3D,2026-03-24,3186,
AMD Ryzen 9 9900X,2026-03-24,2396,
AMD Ryzen 9 9900X3D,2026-03-24,3196,
AMD Ryzen 9 9950X,2026-03-24,2836,
AMD Ryzen 9 9950X3D,2026-03-24,4186,
INTEL Core Ultra 5 225,2026-03-24,1037,
INTEL Core Ultra 5 225F,2026-03-24,842,
INTEL Core Ultra 5 230F,2026-03-24,832,
INTEL Core Ultra 5 235,2026-03-24,1197,
INTEL Core Ultra 5 245K,2026-03-24,1197,
INTEL Core Ultra 5 245KF,2026-03-24,1197,
INTEL Core Ultra 5 250K Plus,2026-03-24,1197,
INTEL Core Ultra 5 250KF Plus,2026-03-24,1197,
INTEL Core Ultra 7 265K,2026-03-24,1797,
INTEL Core Ultra 7 265KF,2026-03-24,1587,
INTEL Core Ultra 7 270K Plus,2026-03-24,3896,
INTEL Core Ultra 9 285K,2026-03-24,3896,
INTEL Core i3-12100,2026-03-24,922,
INTEL Core i3-12100F,2026-03-24,647,
INTEL Core i3-13100,2026-03-24,947,
INTEL Core i3-13100F,2026-03-24,687,
INTEL Core i3-14100,2026-03-24,957,
INTEL Core i3-14100F,2026-03-24,707,
INTEL Core i5-12400,2026-03-24,1217,
INTEL Core i5-12400F,2026-03-24,882,
INTEL Core i5-12490F,2026-03-24,946,
INTEL Core i5-12500,2026-03-24,1332,
INTEL Core i5-12600K,2026-03-24,1367,
INTEL Core i5-12600KF,2026-03-24,1196,
INTEL Core i5-13400,2026-03-24,1397,
INTEL Core i5-13400F,2026-03-24,992,
INTEL Core i5-13490F,2026-03-24,967,
INTEL Core i5-13500,2026-03-24,1377,
INTEL Core i5-13600K,2026-03-24,1367,
INTEL Core i5-13600KF,2026-03-24,1327,
INTEL Core i5-14400,2026-03-24,1437,
INTEL Core i5-14400F,2026-03-24,1057,
INTEL Core i5-14490F,2026-03-24,1067,
INTEL Core i5-14500,2026-03-24,1477,
INTEL Core i5-14600K,2026-03-24,1556,
INTEL Core i5-14600KF,2026-03-24,1496,
INTEL Core i7-12700K,2026-03-24,2257,
INTEL Core i7-12700KF,2026-03-24,1897,
INTEL Core i7-14700,2026-03-24,2587,
INTEL Core i7-14700F,2026-03-24,2192,
INTEL Core i7-14700K,2026-03-24,2686,
INTEL Core i7-14700KF,2026-03-24,2196,
INTEL Core i7-14790F,2026-03-24,1887,
INTEL Core i9-14900K,2026-03-24,3357,
INTEL Core i9-14900KF,2026-03-24,2887,
AMD Ryzen 3 3100,2026-03-25,,175
AMD Ryzen 3 3300X,2026-03-25,,249
AMD Ryzen 5 3500X,2026-03-25,,255
AMD Ryzen 5 3600,2026-03-25,,360
AMD Ryzen 5 3600X,2026-03-25,,389
AMD Ryzen 5 3600XT,2026-03-25,,415
AMD Ryzen 5 5500,2026-03-25,,458
AMD Ryzen 5 5500GT,2026-03-25,,730
AMD Ryzen 5 5500X3D,2026-03-25,,1075
AMD Ryzen 5 5600,2026-03-25,,660
AMD Ryzen 5 5600G,2026-03-25,,726
AMD Ryzen 5 5600GT,2026-03-25,,780
AMD Ryzen 5 5600X,2026-03-25,,719
AMD Ryzen 5 7400F,2026-03-25,,540
AMD Ryzen 5 7500F,2026-03-25,,600
AMD Ryzen 5 7600,2026-03-25,,650
AMD Ryzen 5 7600X,2026-03-25,,802
AMD Ryzen 5 7600X3D,2026-03-25,,1650
AMD Ryzen 5 8400F,2026-03-25,,474
AMD Ryzen 5 8600G,2026-03-25,,900
AMD Ryzen 5 9500F,2026-03-25,,835
AMD Ryzen 5 9600X,2026-03-25,,980
AMD Ryzen 7 3700X,2026-03-25,,480
AMD Ryzen 7 3800X,2026-03-25,,540
AMD Ryzen 7 5700G,2026-03-25,,900
AMD Ryzen 7 5700X,2026-03-25,,860
AMD Ryzen 7 5700X3D,2026-03-25,,1700
AMD Ryzen 7 5800,2026-03-25,,888
AMD Ryzen 7 5800X,2026-03-25,,910
AMD Ryzen 7 5800X3D,2026-03-25,,2400
AMD Ryzen 7 7700,2026-03-25,,830
AMD Ryzen 7 7700X,2026-03-25,,1070
AMD Ryzen 7 7800X3D,2026-03-25,,1761
AMD Ryzen 7 8700F,2026-03-25,,780
AMD Ryzen 7 8700G,2026-03-25,,1350
AMD Ryzen 7 9700X,2026-03-25,,1407
AMD Ryzen 7 9800X3D,2026-03-25,,2697
AMD Ryzen 9 3900X,2026-03-25,,779
AMD Ryzen 9 3950X,2026-03-25,,1199
AMD Ryzen 9 5900X,2026-03-25,,1315
AMD Ryzen 9 5950X,2026-03-25,,1712
AMD Ryzen 9 7900X,2026-03-25,,1350
AMD Ryzen 9 7900X3D,2026-03-25,,1800
AMD Ryzen 9 7950X,2026-03-25,,1800
AMD Ryzen 9 7950X3D,2026-03-25,,2369
AMD Ryzen 9 9900X,2026-03-25,,1989
AMD Ryzen 9 9900X3D,2026-03-25,,2750
AMD Ryzen 9 9950X,2026-03-25,,2741
AMD Ryzen 9 9950X3D,2026-03-25,,3600
INTEL Core Ultra 5 225,2026-03-25,,820
INTEL Core Ultra 5 225F,2026-03-25,,693
INTEL Core Ultra 5 230F,2026-03-25,,722
INTEL Core Ultra 5 235,2026-03-25,,950
INTEL Core Ultra 5 245K,2026-03-25,,1080
INTEL Core Ultra 5 245KF,2026-03-25,,1060
INTEL Core Ultra 5 250K Plus,2026-03-25,,1545
INTEL Core Ultra 7 265K,2026-03-25,,1550
INTEL Core Ultra 7 265KF,2026-03-25,,1450
INTEL Core Ultra 7 270K Plus,2026-03-25,,2239
INTEL Core Ultra 9 285K,2026-03-25,,3400
INTEL Core i3-10100,2026-03-25,,500
INTEL Core i3-10100F,2026-03-25,,360
INTEL Core i3-10105,2026-03-25,,525
INTEL Core i3-10105F,2026-03-25,,375
INTEL Core i3-12100,2026-03-25,,820
INTEL Core i3-12100F,2026-03-25,,575
INTEL Core i3-13100,2026-03-25,,710
INTEL Core i3-13100F,2026-03-25,,595
INTEL Core i3-14100,2026-03-25,,850
INTEL Core i3-14100F,2026-03-25,,637
INTEL Core i5-10400,2026-03-25,,730
INTEL Core i5-10400F,2026-03-25,,630
INTEL Core i5-10600K,2026-03-25,,628
INTEL Core i5-10600KF,2026-03-25,,611
INTEL Core i5-11400,2026-03-25,,760
INTEL Core i5-11400F,2026-03-25,,680
INTEL Core i5-11600K,2026-03-25,,780
INTEL Core i5-11600KF,2026-03-25,,705
INTEL Core i5-12400,2026-03-25,,1102
INTEL Core i5-12400F,2026-03-25,,830
INTEL Core i5-12490F,2026-03-25,,820
INTEL Core i5-12500,2026-03-25,,960
INTEL Core i5-12600K,2026-03-25,,1199
INTEL Core i5-12600KF,2026-03-25,,1016
INTEL Core i5-13400,2026-03-25,,1328
INTEL Core i5-13400F,2026-03-25,,920
INTEL Core i5-13490F,2026-03-25,,910
INTEL Core i5-13500,2026-03-25,,1280
INTEL Core i5-13600K,2026-03-25,,1282
INTEL Core i5-13600KF,2026-03-25,,1250
INTEL Core i5-14400,2026-03-25,,1350
INTEL Core i5-14400F,2026-03-25,,990
INTEL Core i5-14490F,2026-03-25,,1030
INTEL Core i5-14500,2026-03-25,,1350
INTEL Core i5-14600K,2026-03-25,,1400
INTEL Core i5-14600KF,2026-03-25,,1369
INTEL Core i7-10700,2026-03-25,,1251
INTEL Core i7-10700F,2026-03-25,,985
INTEL Core i7-10700K,2026-03-25,,1700
INTEL Core i7-10700KF,2026-03-25,,1010
INTEL Core i7-11700,2026-03-25,,1377
INTEL Core i7-11700F,2026-03-25,,1050
INTEL Core i7-11700K,2026-03-25,,1392
INTEL Core i7-11700KF,2026-03-25,,1030
INTEL Core i7-12700,2026-03-25,,2004
INTEL Core i7-12700F,2026-03-25,,1620
INTEL Core i7-12700K,2026-03-25,,2011
INTEL Core i7-12700KF,2026-03-25,,1729
INTEL Core i7-13700,2026-03-25,,1998
INTEL Core i7-13700F,2026-03-25,,1655
INTEL Core i7-13700K,2026-03-25,,2000
INTEL Core i7-13700KF,2026-03-25,,1670
INTEL Core i7-14700,2026-03-25,,2382
INTEL Core i7-14700F,2026-03-25,,1899
INTEL Core i7-14700K,2026-03-25,,2400
INTEL Core i7-14700KF,2026-03-25,,1950
INTEL Core i9-10850K,2026-03-25,,1589
INTEL Core i9-10900,2026-03-25,,2775
INTEL Core i9-10900F,2026-03-25,,1555
INTEL Core i9-10900K,2026-03-25,,2740
INTEL Core i9-10900KF,2026-03-25,,1550
INTEL Core i9-11900,2026-03-25,,1850
INTEL Core i9-11900F,2026-03-25,,1400
INTEL Core i9-11900K,2026-03-25,,2080
INTEL Core i9-11900KF,2026-03-25,,1420
INTEL Core i9-12900K,2026-03-25,,2255
INTEL Core i9-12900KF,2026-03-25,,1900
INTEL Core i9-12900KS,2026-03-25,,2012
INTEL Core i9-13900K,2026-03-25,,1900
INTEL Core i9-13900KF,2026-03-25,,1800
INTEL Core i9-13900KS,2026-03-25,,2050
INTEL Core i9-14900,2026-03-25,,2515
INTEL Core i9-14900K,2026-03-25,,2800
INTEL Core i9-14900KF,2026-03-25,,2550
INTEL Core i9-14900KS,2026-03-25,,3000
AMD Ryzen 5 5500,2026-03-31,516,
AMD Ryzen 5 5500GT,2026-03-31,826,
AMD Ryzen 5 5500X3D,2026-03-31,1106,
AMD Ryzen 5 5600,2026-03-31,732,
AMD Ryzen 5 5600GT,2026-03-31,876,
AMD Ryzen 5 5600X,2026-03-31,836,
AMD Ryzen 5 7400F,2026-03-31,776,
AMD Ryzen 5 7500F,2026-03-31,696,
AMD Ryzen 5 7600X,2026-03-31,1076,
AMD Ryzen 5 8400F,2026-03-31,766,
AMD Ryzen 5 8600G,2026-03-31,1206,
AMD Ryzen 5 9500F,2026-03-31,1056,
AMD Ryzen 5 9600X,2026-03-31,1081,
AMD Ryzen 7 5700G,2026-03-31,1146,
AMD Ryzen 7 5700X,2026-03-31,972,
AMD Ryzen 7 5700X3D,2026-03-31,2086,
AMD Ryzen 7 7700,2026-03-31,1186,
AMD Ryzen 7 7800X3D,2026-03-31,1875,
AMD Ryzen 7 8700F,2026-03-31,956,
AMD Ryzen 7 8700G,2026-03-31,1766,
AMD Ryzen 7 9700X,2026-03-31,1506,
AMD Ryzen 7 9800X3D,2026-03-31,2796,
AMD Ryzen 7 9850X3D,2026-03-31,3186,
AMD Ryzen 9 9900X,2026-03-31,2396,
AMD Ryzen 9 9900X3D,2026-03-31,3456,
AMD Ryzen 9 9950X,2026-03-31,2836,
AMD Ryzen 9 9950X3D,2026-03-31,4186,
INTEL Core Ultra 5 225,2026-03-31,1027,
INTEL Core Ultra 5 225F,2026-03-31,786,
INTEL Core Ultra 5 230F,2026-03-31,796,
INTEL Core Ultra 5 235,2026-03-31,1197,
INTEL Core Ultra 5 245K,2026-03-31,1156,
INTEL Core Ultra 5 245KF,2026-03-31,1146,
INTEL Core Ultra 5 250K Plus,2026-03-31,1576,
INTEL Core Ultra 5 250KF Plus,2026-03-31,1547,
INTEL Core Ultra 7 265K,2026-03-31,1796,
INTEL Core Ultra 7 265KF,2026-03-31,1596,
INTEL Core Ultra 7 270K Plus,2026-03-31,2306,
INTEL Core Ultra 9 285K,2026-03-31,3856,
INTEL Core i3-12100,2026-03-31,912,
INTEL Core i3-12100F,2026-03-31,647,
INTEL Core i3-13100,2026-03-31,907,
INTEL Core i3-13100F,2026-03-31,657,
INTEL Core i3-14100,2026-03-31,895,
INTEL Core i3-14100F,2026-03-31,667,
INTEL Core i5-12400,2026-03-31,1217,
INTEL Core i5-12400F,2026-03-31,882,
INTEL Core i5-12490F,2026-03-31,862,
INTEL Core i5-12500,2026-03-31,1332,
INTEL Core i5-12600K,2026-03-31,1327,
INTEL Core i5-12600KF,2026-03-31,1087,
INTEL Core i5-13400,2026-03-31,1397,
INTEL Core i5-13400F,2026-03-31,973,
INTEL Core i5-13490F,2026-03-31,962,
INTEL Core i5-13500,2026-03-31,1377,
INTEL Core i5-13600K,2026-03-31,1367,
INTEL Core i5-13600KF,2026-03-31,1337,
INTEL Core i5-14400,2026-03-31,1437,
INTEL Core i5-14400F,2026-03-31,1037,
INTEL Core i5-14490F,2026-03-31,1057,
INTEL Core i5-14500,2026-03-31,1517,
INTEL Core i5-14600K,2026-03-31,1447,
INTEL Core i5-14600KF,2026-03-31,1407,
INTEL Core i7-12700K,2026-03-31,2257,
INTEL Core i7-12700KF,2026-03-31,1937,
INTEL Core i7-14700,2026-03-31,2517,
INTEL Core i7-14700F,2026-03-31,2077,
INTEL Core i7-14700K,2026-03-31,2747,
INTEL Core i7-14700KF,2026-03-31,2196,
INTEL Core i7-14790F,2026-03-31,1887,
INTEL Core i9-14900K,2026-03-31,3356,
INTEL Core i9-14900KF,2026-03-31,2887,
AMD Ryzen 3 3100,2026-04-02,,175
AMD Ryzen 3 3300X,2026-04-02,,249
AMD Ryzen 5 3500X,2026-04-02,,255
AMD Ryzen 5 3600,2026-04-02,,360
AMD Ryzen 5 3600X,2026-04-02,,389
AMD Ryzen 5 3600XT,2026-04-02,,415
AMD Ryzen 5 5500,2026-04-02,,458
AMD Ryzen 5 5500GT,2026-04-02,,730
AMD Ryzen 5 5500X3D,2026-04-02,,1075
AMD Ryzen 5 5600,2026-04-02,,660
AMD Ryzen 5 5600G,2026-04-02,,726
AMD Ryzen 5 5600GT,2026-04-02,,780
AMD Ryzen 5 5600X,2026-04-02,,719
AMD Ryzen 5 7400F,2026-04-02,,540
AMD Ryzen 5 7500F,2026-04-02,,600
AMD Ryzen 5 7600,2026-04-02,,650
AMD Ryzen 5 7600X,2026-04-02,,802
AMD Ryzen 5 7600X3D,2026-04-02,,1650
AMD Ryzen 5 8400F,2026-04-02,,474
AMD Ryzen 5 8600G,2026-04-02,,900
AMD Ryzen 5 9500F,2026-04-02,,835
AMD Ryzen 5 9600X,2026-04-02,,980
AMD Ryzen 7 3700X,2026-04-02,,480
AMD Ryzen 7 3800X,2026-04-02,,540
AMD Ryzen 7 5700G,2026-04-02,,900
AMD Ryzen 7 5700X,2026-04-02,,860
AMD Ryzen 7 5700X3D,2026-04-02,,1700
AMD Ryzen 7 5800,2026-04-02,,888
AMD Ryzen 7 5800X,2026-04-02,,910
AMD Ryzen 7 5800X3D,2026-04-02,,2400
AMD Ryzen 7 7700,2026-04-02,,830
AMD Ryzen 7 7700X,2026-04-02,,1070
AMD Ryzen 7 7800X3D,2026-04-02,,1761
AMD Ryzen 7 8700F,2026-04-02,,780
AMD Ryzen 7 8700G,2026-04-02,,1350
AMD Ryzen 7 9700X,2026-04-02,,1407
AMD Ryzen 7 9800X3D,2026-04-02,,2697
AMD Ryzen 9 3900X,2026-04-02,,779
AMD Ryzen 9 3950X,2026-04-02,,1199
AMD Ryzen 9 5900X,2026-04-02,,1315
AMD Ryzen 9 5950X,2026-04-02,,1712
AMD Ryzen 9 7900X,2026-04-02,,1350
AMD Ryzen 9 7900X3D,2026-04-02,,1800
